rhaT	b3907
fxsA	b4140
pdxH-tyrS-pdxY	b1638
pdxH-tyrS-pdxY	b1637
pdxH-tyrS-pdxY	b1636
rcsDB	b2216
rcsDB	b2217
mreBCD	b3251
mreBCD	b3250
mreBCD	b3249
prlF-yhaV	b3129
prlF-yhaV	b3130
nikABCDER	b3476
nikABCDER	b3477
nikABCDER	b3478
nikABCDER	b3479
nikABCDER	b3480
nikABCDER	b3481
norVW	b2710
norVW	b2711
sodC	b1646
ubiEJB	b3833
ubiEJB	b3834
ubiEJB	b3835
ibpAB	b3687
ibpAB	b3686
map-glnD-dapD	b0168
map-glnD-dapD	b0167
map-glnD-dapD	b0166
malXY	b1621
malXY	b1622
frsA	b0239
uvrB	b0779
aldA	b1415
yadV-htrE	b0140
yadV-htrE	b0139
rph-pyrE	b3643
rph-pyrE	b3642
rtcBA	b3421
rtcBA	b4475
codBA	b0336
codBA	b0337
cutA	b4137
upp-uraA	b2498
upp-uraA	b2497
yjjW	b4379
ydjM	b1728
ompX	b0814
dppABCDF	b3544
dppABCDF	b3543
dppABCDF	b3542
dppABCDF	b3541
dppABCDF	b3540
pfkB	b1723
ldcC	b0186
mutS	b2733
shoB	b4687
metA	b4013
galETKM	b0759
galETKM	b0758
galETKM	b0757
galETKM	b0756
cynTSX	b0339
cynTSX	b0340
cynTSX	b0341
cbrBC	b3716
cbrBC	b3717
cydDC	b0887
cydDC	b0886
umuDC	b1183
umuDC	b1184
tisB	b4618
hslVU	b3932
hslVU	b3931
xapAB	b2407
xapAB	b2406
rnb	b1286
fixABCX	b0041
fixABCX	b0042
fixABCX	b0043
fixABCX	b0044
mprA-emrAB	b2684
mprA-emrAB	b2685
mprA-emrAB	b2686
proVWX	b2677
proVWX	b2678
proVWX	b2679
paaABCDEFGHIJK	b1388
paaABCDEFGHIJK	b1389
paaABCDEFGHIJK	b1390
paaABCDEFGHIJK	b1391
paaABCDEFGHIJK	b1392
paaABCDEFGHIJK	b1393
paaABCDEFGHIJK	b1394
paaABCDEFGHIJK	b1395
paaABCDEFGHIJK	b1396
paaABCDEFGHIJK	b1397
paaABCDEFGHIJK	b1398
arsRBC	b3501
arsRBC	b3502
arsRBC	b3503
hcp-hcr	b0873
hcp-hcr	b0872
ygiF-glnE	b3054
ygiF-glnE	b3053
rlmL-uup	b0948
rlmL-uup	b0949
metH	b4019
nrdHIEF	b2673
nrdHIEF	b2674
nrdHIEF	b2675
nrdHIEF	b2676
stpA	b2669
aspA-dcuA	b4139
aspA-dcuA	b4138
araE-ygeA	b2841
araE-ygeA	b2840
zinT	b1973
mqsRA	b3022
mqsRA	b3021
nanATEK-yhcH	b3225
nanATEK-yhcH	b3224
nanATEK-yhcH	b3223
nanATEK-yhcH	b3222
nanATEK-yhcH	b3221
nemRA-gloA	b1649
nemRA-gloA	b1650
nemRA-gloA	b1651
grpE	b2614
seqA-pgm	b0687
seqA-pgm	b0688
flhDC	b1892
flhDC	b1891
yejABEF	b2177
yejABEF	b2178
yejABEF	b2179
yejABEF	b2180
rpsP-rimM-trmD-rplS	b2609
rpsP-rimM-trmD-rplS	b2608
rpsP-rimM-trmD-rplS	b2607
rpsP-rimM-trmD-rplS	b2606
ybjC-nfsA-rimK-ybjN	b0850
ybjC-nfsA-rimK-ybjN	b0851
ybjC-nfsA-rimK-ybjN	b0852
ybjC-nfsA-rimK-ybjN	b0853
tauABCD	b0365
tauABCD	b0366
tauABCD	b0367
tauABCD	b0368
gltBDF	b3212
gltBDF	b3213
gltBDF	b3214
rhoL-rho	b3783
tpx	b1324
amiA-hemF	b2435
amiA-hemF	b2436
sfsA-dksA-gluQ	b0146
sfsA-dksA-gluQ	b0145
sfsA-dksA-gluQ	b0144
dctA	b3528
cfa	b1661
cirA	b2155
appCBXA	b0980
livKHMGF	b3458
livKHMGF	b3457
livKHMGF	b3456
livKHMGF	b3455
livKHMGF	b3454
luxS	b2687
sdhCDAB-sucABCD	b0721
sdhCDAB-sucABCD	b0722
sdhCDAB-sucABCD	b0723
sdhCDAB-sucABCD	b0724
sdhCDAB-sucABCD	b0726
sdhCDAB-sucABCD	b0727
sdhCDAB-sucABCD	b0728
sdhCDAB-sucABCD	b0729
ppk-ppx	b2501
ppk-ppx	b2502
selAB	b3591
selAB	b3590
tar-tap-cheRBYZ	b1886
tar-tap-cheRBYZ	b1885
tar-tap-cheRBYZ	b1884
tar-tap-cheRBYZ	b1883
tar-tap-cheRBYZ	b1882
tar-tap-cheRBYZ	b1881
pheLA	b2598
pheLA	b2599
folP-glmM	b3177
folP-glmM	b3176
rraB	b4255
sspAB	b3229
sspAB	b3228
cusRS	b0571
cusRS	b0570
yjjB-dnaTC-yjjA	b4363
yjjB-dnaTC-yjjA	b4362
yjjB-dnaTC-yjjA	b4361
yjjB-dnaTC-yjjA	b4360
fecIR	b4293
fecIR	b4292
rcnAB	b2106
rcnAB	b2107
puuDRCBE	b1298
puuDRCBE	b1299
puuDRCBE	b1300
puuDRCBE	b1301
puuDRCBE	b1302
yjjQ-bglJ	b4365
yjjQ-bglJ	b4366
ybgC-tolQRA	b0736
ybgC-tolQRA	b0737
